source,target,km,days,expense,type,BREED
50077,50468,65.536,1.311,0.446,fastup,routes
50078,50172,48.58,1.619,1.7,road,routes
50078,50174,87.732,2.924,3.071,road,routes
50078,50261,37.784,1.259,1.322,road,routes
50078,50754,63.525,0.529,0.216,fastdown,routes
50079,50154,132.58,5.303,0.902,upstream,routes
50079,50263,123.485,4.116,4.322,road,routes
50079,50282,159.99,3.555,0.544,downstream,routes
50079,50375,94.184,3.139,3.296,road,routes
50080,50140,122.77,4.092,4.297,road,routes
50080,50304,86.706,2.89,3.035,road,routes
50080,50760,37.738,1.258,1.321,road,routes
50081,50009,62.476,2.083,2.187,road,routes
50081,50010,24.658,0.822,0.863,road,routes
50082,50048,275.621,9.187,9.647,road,routes
50082,50084,216.91,7.23,7.592,road,routes
50082,50128,178.071,5.936,6.232,road,routes
50083,50053,191.539,3.831,1.302,fastup,routes
50083,50100,58.819,1.961,2.059,road,routes
50083,50137,80.862,2.695,2.83,road,routes
50084,50048,231.751,7.725,8.111,road,routes
50084,50082,216.91,7.23,7.592,road,routes
50084,50283,632.14,3.761,0.376,coastal,routes
50084,50464,404.766,2.676,0.268,coastal,routes
50085,50035,111.903,2.035,0.38,downstream,routes
50085,50105,121.594,8.106,0.827,upstream,routes
50085,50768,38.857,1.295,1.36,road,routes
50086,50066,133.554,1.147,0.115,coastal,routes
50086,50159,169.366,1.082,0.108,coastal,routes
50086,50377,64.436,2.148,2.255,road,routes
50086,50530,92.614,0.614,0.061,coastal,routes
50086,50533,142.655,0.888,0.089,coastal,routes
50087,50107,153.993,5.133,5.39,road,routes
50087,50391,28.774,0.959,1.007,road,routes
50088,50033,131.954,4.398,4.618,road,routes
50088,50121,415.866,2.539,0.254,coastal,routes
50088,50252,122.001,4.067,4.27,road,routes
50088,50435,161.263,3.225,1.097,fastup,routes
50088,50464,352.911,2.2,0.22,coastal,routes
50089,50201,64.909,2.164,2.272,road,routes
50089,50336,81.06,2.702,2.837,road,routes
50089,50753,56.194,1.873,1.967,road,routes
50090,50207,14.072,0.469,0.493,road,routes
50090,50730,101.318,3.377,3.546,road,routes
50091,50059,47.61,1.587,1.666,road,routes
50091,50416,159.412,15.941,1.084,upstream,routes
50091,50429,138.668,2.133,0.471,downstream,routes
50092,50067,45.894,1.53,1.606,road,routes
50092,50072,100.738,3.358,3.526,road,routes
50092,50364,169.206,2.256,0.575,downstream,routes
50092,50428,63.341,6.334,0.431,upstream,routes
50093,50075,73.054,2.435,2.557,road,routes
50093,50097,123.282,4.109,4.315,road,routes
50093,50285,69.535,2.318,2.434,road,routes
50093,50313,155.046,5.168,5.427,road,routes
50093,50372,138.609,4.62,4.851,road,routes
50094,50014,65.013,0.488,0.049,coastal,routes
50094,50243,62.622,2.087,2.192,road,routes
50094,50346,64.062,2.135,2.242,road,routes
50094,50452,494.265,4.161,0.416,overseas,routes
50094,50637,45.97,0.307,0.031,coastal,routes
50095,50126,108.678,3.623,3.804,road,routes
50095,50404,133.636,4.455,4.677,road,routes
50096,50115,122.205,2.444,0.831,fastup,routes
50096,50210,109.813,0.915,0.373,fastdown,routes
50097,50093,123.282,4.109,4.315,road,routes
50097,50422,121.838,4.061,4.264,road,routes
50098,50235,72.382,2.413,2.533,road,routes
50098,50365,11.326,0.378,0.396,road,routes
50098,50412,38.793,1.293,1.358,road,routes
50099,50041,114.483,1.761,0.389,downstream,routes
50099,50053,27.034,0.541,0.184,fastup,routes
50099,50416,124.72,4.157,4.365,road,routes
50100,50001,50.135,1.671,1.755,road,routes
50100,50083,58.819,1.961,2.059,road,routes
50101,50235,113.332,0.584,0.058,coastal,routes
50101,50330,87.884,0.589,0.059,coastal,routes
50101,50411,185.056,1.226,0.123,coastal,routes
50102,50066,71.411,2.38,2.499,road,routes
50102,50193,39.183,1.306,1.371,road,routes
50103,50374,140.302,4.677,4.911,road,routes
50103,50387,69.427,2.314,2.43,road,routes
50104,50113,35.56,1.185,1.245,road,routes
50104,50357,38.984,1.299,1.364,road,routes
50105,50085,121.594,1.013,0.413,fastdown,routes
50105,50344,56.047,1.868,1.962,road,routes
50105,50420,43.817,2.921,0.298,upstream,routes
50105,50768,80.008,2.667,2.8,road,routes
50106,50067,55.602,1.853,1.946,road,routes
50107,50087,153.993,5.133,5.39,road,routes
50107,50188,146.781,4.893,5.137,road,routes
50107,50230,672.492,4.019,0.402,coastal,routes
50107,50260,123.464,4.115,4.321,road,routes
50107,50286,603.381,4.059,0.406,overseas,routes
50107,50449,212.594,1.559,0.156,coastal,routes
50107,50483,406.224,2.819,0.282,coastal,routes
50107,50486,306.039,2.409,0.241,overseas,routes
50107,50492,465.134,2.715,0.271,coastal,routes
50107,50493,76.263,0.495,0.05,coastal,routes
50107,50505,238.038,1.432,0.143,overseas,routes
50108,50005,143.569,4.786,5.025,road,routes
50108,50206,349.111,2.856,0.286,overseas,routes
50108,50450,238.247,1.958,0.196,coastal,routes
50108,50474,225.353,1.511,0.151,overseas,routes
50108,50483,715.905,6.247,0.625,overseas,routes
50108,50713,362.107,2.583,0.258,coastal,routes
50109,50177,28.736,0.958,1.006,road,routes
50109,50381,37.992,1.266,1.33,road,routes
50110,50022,97.756,0.823,0.082,coastal,routes
50110,50047,28.058,0.935,0.982,road,routes
50110,50049,62.478,0.463,0.046,coastal,routes
50111,50131,112.259,3.742,3.929,road,routes
50111,50248,90.836,3.028,3.179,road,routes
50112,50141,296.771,9.892,10.387,road,routes
50112,50291,228.135,1.435,0.143,coastal,routes
50112,50568,33.713,0.329,0.033,slowcoast,routes
50113,50069,15.674,0.522,0.549,road,routes
50113,50104,35.56,1.185,1.245,road,routes
50114,50166,68.903,2.297,2.412,road,routes
